P000501,41.9129,89.1427
P000502,97.0106,40.1206
P000503,82.3579,67.6925
P000504,79.8696,36.6672
P000505,17.9483,47.3837
P000506,55.3000,65.2017
P000507,28.0672,12.0841
P000508,7.1815,28.6286
P000509,71.4151,51.7038
P000510,82.1529,29.7279
P000511,35.9230,73.9262
P000512,92.2202,12.4466
P000513,66.3787,60.1417
P000514,12.5656,25.6513
P000515,49.6673,60.3485
P000516,57.0392,89.1592
P000517,25.4990,82.6889
P000518,97.8599,83.6882
P000519,15.4591,65.8822
P000520,89.1596,79.4417
P000521,80.1285,21.1860
P000522,19.5594,65.4073
P000523,18.5981,68.4142
P000524,22.2707,95.3027
P000525,59.9352,29.4324
P000526,19.3809,36.5423
P000527,63.8627,41.7874
P000528,93.0693,54.2301
P000529,4.8242,24.3825
P000530,41.5953,12.1966
P000531,3.0997,47.4144
P000532,74.0797,57.6777
P000533,13.6212,82.7721
P000534,71.3376,37.8046
P000535,59.1386,77.2587
P000536,74.5503,52.5552
P000537,79.4083,80.1762
P000538,39.6220,35.5830
P000539,25.9188,90.8306
P000540,72.3063,4.8096
P000541,8.6913,97.8170
P000542,0.6373,39.6341
P000543,30.6504,60.5072
P000544,80.3198,13.0395
P000545,94.2357,95.3499
P000546,73.4397,82.4387
P000547,20.1775,45.8039
P000548,58.0541,47.9950
P000549,94.1499,24.0584
P000550,10.0283,97.5682
P000551,98.1084,5.3012
P000552,56.1896,83.0262
P000553,86.1221,79.8822
P000554,8.8559,8.8143
P000555,78.1282,26.0767
P000556,33.3010,76.5036
P000557,34.9528,78.6471
P000558,4.5640,9.3516
P000559,57.9322,73.0201
P000560,0.7906,23.6869
P000561,59.1276,40.5821
P000562,96.4047,10.5655
P000563,21.3520,82.4127
P000564,81.8715,40.2947
P000565,49.1175,21.3189
P000566,6.6700,90.3790
P000567,16.0948,90.8755
P000568,84.7564,63.3664
P000569,67.7458,5.4118
P000570,2.9874,68.6931
P000571,29.7021,32.0560
P000572,37.6604,28.9986
P000573,89.1812,78.9811
P000574,9.5148,94.7018
P000575,8.7519,72.3610
P000576,91.0802,75.1630
P000577,1.3652,50.3873
P000578,34.8697,48.4194
P000579,71.6242,69.4553
P000580,4.6178,98.3762
P000581,12.7448,43.7038
P000582,50.5996,58.8570
P000583,26.0179,27.9784
P000584,51.2711,83.8949
P000585,16.8707,7.4005
P000586,42.1853,35.0879
P000587,8.1586,28.0979
P000588,11.8854,63.8846
P000589,77.3068,47.3849
P000590,97.7197,57.3683
P000591,26.1482,98.1449
P000592,72.4340,26.0303
P000593,59.7167,25.9080
P000594,4.3456,60.6266
P000595,33.1177,71.1323
P000596,85.4772,50.1958
P000597,8.9241,23.8639
P000598,42.5215,52.6422
P000599,1.4878,19.1250
P000600,36.0808,67.9027
P000601,90.0674,81.6786
P000602,83.7196,51.1866
P000603,3.1441,21.8884
P000604,58.5539,35.1828
P000605,47.9553,67.8477
P000606,64.2561,69.8262
P000607,27.6656,8.0540
P000608,55.3494,1.6653
P000609,64.9950,32.1663
P000610,82.1602,55.7603
P000611,11.2273,11.6034
P000612,63.3342,64.6611
P000613,50.5446,96.2472
P000614,26.6944,45.7947
P000615,11.6768,67.8731
P000616,69.6429,33.5107
P000617,16.5182,31.0668
P000618,49.7417,43.7916
P000619,34.3586,42.5966
P000620,49.8862,8.0550
P000621,95.0708,36.9383
P000622,89.2805,16.7803
P000623,36.1758,74.6006
P000624,43.9624,97.3336
P000625,62.7844,44.0696
P000626,31.1166,32.6015
P000627,76.1751,48.0215
